bill_ID,value,kategori
958,2,jarang
959,1,jarang
960,1,jarang
961,1,jarang
962,1,jarang
963,2,jarang
964,1,jarang
965,1,jarang
966,1,jarang
967,1,jarang
968,1,jarang
969,1,jarang
970,1,jarang
971,1,jarang
972,1,jarang
973,1,jarang
974,1,jarang
975,1,jarang
976,2,jarang
977,1,jarang
978,2,jarang
979,5,jarang
980,1,jarang
981,3,jarang
982,1,jarang
983,3,jarang
984,2,jarang
985,1,jarang
986,2,jarang
987,4,jarang
988,2,jarang
989,1,jarang
990,1,jarang
991,3,jarang
992,1,jarang
993,5,jarang
994,1,jarang
995,2,jarang
996,5,jarang
997,3,jarang
998,1,jarang
999,1,jarang
1000,2,jarang
1001,4,jarang
1002,1,jarang
1003,3,jarang
1004,3,jarang
1005,2,jarang
1006,2,jarang
1007,1,jarang
1008,1,jarang
1009,1,jarang
1010,2,jarang
1011,1,jarang
1012,2,jarang
1013,2,jarang
1014,3,jarang
1015,8,sering
1016,5,jarang
1017,3,jarang
1018,2,jarang
1019,4,jarang
1020,2,jarang
1021,4,jarang
1022,2,jarang
1023,1,jarang
1024,1,jarang
1025,4,jarang
1026,1,jarang
1027,6,sering
1028,1,jarang
1029,3,jarang
1030,5,jarang
1031,1,jarang
1032,1,jarang
1033,2,jarang
1034,2,jarang
1035,2,jarang
1036,5,jarang
1037,1,jarang
1038,2,jarang
1039,3,jarang
1040,3,jarang
1041,1,jarang
1042,2,jarang
1043,2,jarang
1044,2,jarang
1045,4,jarang
1046,1,jarang
1047,2,jarang
1048,1,jarang
1049,5,jarang
1050,1,jarang
1051,3,jarang
1052,7,sering
1053,5,jarang
1054,6,sering
1055,3,jarang
1056,3,jarang
1057,4,jarang
1058,1,jarang
1059,1,jarang
1060,2,jarang
1061,1,jarang
1062,1,jarang
1063,1,jarang
1064,3,jarang
1065,1,jarang
1066,3,jarang
1067,2,jarang
1068,1,jarang
1069,2,jarang
1070,1,jarang
1071,1,jarang
1072,1,jarang
1073,2,jarang
1074,2,jarang
1075,2,jarang
1076,7,sering
1077,1,jarang
1078,1,jarang
1079,1,jarang
1080,2,jarang
1081,3,jarang
1082,5,jarang
1083,2,jarang
1084,2,jarang
1085,2,jarang
1086,3,jarang
1087,3,jarang
1088,3,jarang
1089,2,jarang
1090,1,jarang
1091,1,jarang
1092,1,jarang
1093,1,jarang
1094,1,jarang
1095,1,jarang
1096,1,jarang
1097,2,jarang
1098,2,jarang
1099,4,jarang
1100,7,sering
1101,2,jarang
1102,5,jarang
1103,1,jarang
1104,1,jarang
1105,1,jarang
1106,1,jarang
1107,3,jarang
1108,2,jarang
1109,2,jarang
1110,6,sering
1111,2,jarang
1112,2,jarang
1113,1,jarang
1114,1,jarang
1115,1,jarang
1116,4,jarang
1117,1,jarang
1118,1,jarang
1119,5,jarang
1120,2,jarang
1121,2,jarang
1122,1,jarang
1123,2,jarang
1124,4,jarang
1125,3,jarang
1126,2,jarang
1127,3,jarang
1128,1,jarang
1129,2,jarang
1130,3,jarang
1131,1,jarang
1132,2,jarang
1133,1,jarang
1134,1,jarang
1135,1,jarang
1136,3,jarang
1137,11,sangat sering
1138,1,jarang
1139,1,jarang
1140,2,jarang
1141,1,jarang
1142,5,jarang
1143,9,sering
1144,2,jarang
1145,4,jarang
1146,1,jarang
1147,1,jarang
1148,1,jarang
1149,1,jarang
1150,1,jarang
1151,4,jarang
1152,4,jarang
1153,2,jarang
1154,1,jarang
1155,2,jarang
1156,12,sangat sering
1157,4,jarang
1158,4,jarang
1159,3,jarang
1160,6,sering
1161,1,jarang
1162,3,jarang
1163,2,jarang
1164,10,sering
1165,3,jarang
1166,2,jarang
1167,3,jarang
1168,7,sering
1169,5,jarang
1170,4,jarang
1171,4,jarang
1172,1,jarang
1173,3,jarang
1174,8,sering
1175,4,jarang
1176,1,jarang
1177,9,sering
1178,6,sering
1179,1,jarang
1180,4,jarang
1181,2,jarang
1182,11,sangat sering
1183,5,jarang
1184,3,jarang
1185,5,jarang
1186,3,jarang
1187,9,sering
1188,3,jarang
1189,1,jarang
1190,2,jarang
1191,2,jarang
1192,2,jarang
1193,1,jarang
1194,1,jarang
1195,2,jarang
1196,1,jarang
1197,9,sering
1198,2,jarang
1199,1,jarang
1200,3,jarang
1201,3,jarang
1202,3,jarang
1203,1,jarang
1204,4,jarang
1205,4,jarang
1206,1,jarang
1207,2,jarang
1208,1,jarang
1209,2,jarang
1210,1,jarang
1211,2,jarang
1212,1,jarang
1213,2,jarang
1214,3,jarang
1215,2,jarang
1216,4,jarang
1217,2,jarang
1218,2,jarang
1219,1,jarang
1220,1,jarang
1221,1,jarang
1222,9,sering
1223,2,jarang
1224,2,jarang
1225,2,jarang
1226,2,jarang
1227,2,jarang
1228,2,jarang
1229,1,jarang
1230,4,jarang
1231,1,jarang
1232,1,jarang
1233,7,sering
1234,5,jarang
1235,3,jarang
1236,3,jarang
1237,2,jarang
1238,1,jarang
1239,1,jarang
1240,10,sering
1241,2,jarang
1242,1,jarang
1243,6,sering
1244,1,jarang
1245,2,jarang
1246,7,sering
1247,6,sering
1248,6,sering
1249,2,jarang
1250,5,jarang
1251,2,jarang
1252,2,jarang
1253,2,jarang
1254,1,jarang
1255,1,jarang
1256,2,jarang
1257,2,jarang
1258,2,jarang
1259,2,jarang
1260,5,jarang
1261,5,jarang
1262,2,jarang
1263,1,jarang
1264,1,jarang
1265,1,jarang
1266,1,jarang
1267,1,jarang
1268,2,jarang
1269,8,sering
1270,4,jarang
1271,1,jarang
1272,2,jarang
1273,1,jarang
1274,2,jarang
1275,4,jarang
1276,1,jarang
1277,2,jarang
1278,2,jarang
1279,1,jarang
1280,3,jarang
1281,2,jarang
1282,1,jarang
1283,4,jarang
1284,1,jarang
1285,1,jarang
1286,1,jarang
1287,10,sering
1288,3,jarang
1289,2,jarang
1290,4,jarang
1291,1,jarang
1292,1,jarang
1293,12,sangat sering
1294,5,jarang
1295,3,jarang
1296,2,jarang
1297,1,jarang
1298,2,jarang
1299,4,jarang
1300,6,sering
1301,1,jarang
1302,3,jarang
1303,2,jarang
1304,2,jarang
1305,1,jarang
1306,1,jarang
1307,2,jarang
1308,2,jarang
1309,3,jarang
1310,1,jarang
1311,1,jarang
1312,1,jarang
1313,2,jarang
1314,4,jarang
1315,2,jarang
1316,4,jarang
1317,1,jarang
1318,3,jarang
1319,1,jarang
1320,3,jarang
1321,5,jarang
1322,1,jarang
1323,5,jarang
1324,2,jarang
1325,4,jarang
1326,1,jarang
1327,2,jarang
1328,2,jarang
1329,2,jarang
1330,2,jarang
1331,1,jarang
1332,37,sangat sering
1333,2,jarang
1334,1,jarang
